date;qty
01.09.2017;179667
02.09.2017;177670
03.09.2017;152112
04.09.2017;142938
05.09.2017;130741
06.09.2017;195866
07.09.2017;162560
08.09.2017;175382
09.09.2017;139323
10.09.2017;195388
11.09.2017;113806
12.09.2017;80009
13.09.2017;162270
14.09.2017;131001
15.09.2017;167366
16.09.2017;133252
17.09.2017;163392
18.09.2017;131881
19.09.2017;95233
20.09.2017;134325
21.09.2017;136637
22.09.2017;142415
23.09.2017;115107
24.09.2017;100087
25.09.2017;97076
26.09.2017;93977
27.09.2017;132807
28.09.2017;81813
29.09.2017;133216
30.09.2017;82787
01.10.2017;137265
02.10.2017;95467
03.10.2017;61521
04.10.2017;83576
05.10.2017;87239
06.10.2017;104735
07.10.2017;106690
08.10.2017;147322
09.10.2017;79056
10.10.2017;68071
11.10.2017;85294
12.10.2017;116639
13.10.2017;158384
14.10.2017;104573
15.10.2017;139175
16.10.2017;96893
17.10.2017;58306
18.10.2017;131872
19.10.2017;88409
20.10.2017;100495
21.10.2017;91384
22.10.2017;104801
23.10.2017;63994
24.10.2017;64599
25.10.2017;94448
26.10.2017;82291
27.10.2017;112596
28.10.2017;110199
29.10.2017;79084
30.10.2017;62060
31.10.2017;58374
01.11.2017;89741
02.11.2017;62857
03.11.2017;108959
04.11.2017;86681
05.11.2017;121397
06.11.2017;77167
07.11.2017;100554
08.11.2017;156914
09.11.2017;100380
10.11.2017;127164
11.11.2017;140952
12.11.2017;150750
13.11.2017;117565
14.11.2017;120945
15.11.2017;88307
16.11.2017;37
17.11.2017;98
18.11.2017;1444
19.11.2017;4222
20.11.2017;92
21.11.2017;20
22.11.2017;197
23.11.2017;26432
24.11.2017;167576
25.11.2017;157969
26.11.2017;124145
27.11.2017;60264
28.11.2017;42890
29.11.2017;44633
30.11.2017;73172
01.12.2017;95066
02.12.2017;104300
03.12.2017;72698
04.12.2017;77680
05.12.2017;52000
06.12.2017;64916
07.12.2017;36613
08.12.2017;66506
09.12.2017;66917
10.12.2017;61468
11.12.2017;32350
12.12.2017;30635
13.12.2017;64312
14.12.2017;57815
15.12.2017;83972
16.12.2017;77074
17.12.2017;105074
18.12.2017;87811
19.12.2017;80850
20.12.2017;116053
21.12.2017;106561
22.12.2017;165873
23.12.2017;96867
24.12.2017;107469
25.12.2017;72314
26.12.2017;66586
27.12.2017;125199
28.12.2017;91544
29.12.2017;76995
30.12.2017;97289
31.12.2017;41442
01.01.2018;0
02.01.2018;0
03.01.2018;39513
04.01.2018;93550
05.01.2018;175855
06.01.2018;100213
07.01.2018;52789
08.01.2018;39125
09.01.2018;70882
10.01.2018;99995
11.01.2018;100294
12.01.2018;78594
13.01.2018;31503
14.01.2018;64126
15.01.2018;72933
16.01.2018;66519
17.01.2018;103456
18.01.2018;116631
19.01.2018;113619
20.01.2018;61065
21.01.2018;90820
22.01.2018;118734
23.01.2018;94585
24.01.2018;194196
25.01.2018;169815
26.01.2018;150454
27.01.2018;92710
28.01.2018;142134
29.01.2018;98368
30.01.2018;106155
31.01.2018;180401
01.02.2018;193196
02.02.2018;182635
03.02.2018;82393
04.02.2018;151824
05.02.2018;108371
06.02.2018;109786
07.02.2018;174740
08.02.2018;80359
09.02.2018;109915
10.02.2018;110318
11.02.2018;151211
12.02.2018;120556
13.02.2018;88851
14.02.2018;165293
15.02.2018;124298
16.02.2018;192600
17.02.2018;135040
18.02.2018;103287
19.02.2018;130989
20.02.2018;103532
21.02.2018;228436
22.02.2018;175360
23.02.2018;235217
24.02.2018;126039
25.02.2018;132742
26.02.2018;119674
27.02.2018;129653
28.02.2018;239198
01.03.2018;156390
02.03.2018;238275
03.03.2018;186647
04.03.2018;177120
05.03.2018;152024
06.03.2018;116854
07.03.2018;237142
